name,link,description,price,image,features,main_category,sub_category
하이앙포레 프리미엄 샴푸 1000ml,https://prod.danawa.com/info/?pcode=21630710&cate=18313515,,34960,//img.danawa.com/prod_img/500000/710/630/img/21630710_1.jpg?shrink=130:130&_v=20230719125619,"['샴푸', '약산성(pH4.5~6.5)', '대용량', '펌프형', '주성분: 글라이코프로테인, 고수열매', '잎추출물,월계수잎추출물']",샴푸,일반샴푸
엘라스틴 비오틴 클리닉 맥주효모 샴푸 1000ml,https://prod.danawa.com/info/?pcode=29870147&cate=18313515,,9010,//img.danawa.com/prod_img/500000/147/870/img/29870147_1.jpg?shrink=130:130&_v=20231108164658,"['샴푸', '실리콘프리', '대용량', '펌프형', '\n[주요성분] 성분: 비오틴, 맥주효모추출물']",샴푸,일반샴푸
헤드앤숄더 딥 클린 샴푸 850ml,https://prod.danawa.com/info/?pcode=17106437&cate=18313515,지성두피와 기름진 모발을 깨끗하게!,8790,//img.danawa.com/prod_img/500000/437/106/img/17106437_1.jpg?shrink=130:130&_v=20230713141205,"['샴푸', '지성두피', '비듬케어', '펌프형']",샴푸,일반샴푸
케라시스 러블리 앤 로맨틱 퍼퓸 샴푸 980ml,https://prod.danawa.com/info/?pcode=12866276&cate=18313515,,4110,//img.danawa.com/prod_img/500000/276/866/img/12866276_1.jpg?shrink=130:130&_v=20210914140808,"['샴푸', '펌프형']",샴푸,일반샴푸
댄트롤 딥클린 박하 솔트 샴푸 820ml,https://prod.danawa.com/info/?pcode=8874512&cate=18313515,,5090,//img.danawa.com/prod_img/500000/512/874/img/8874512_1.jpg?shrink=130:130&_v=20221219123316,"['샴푸', '약산성(pH4.5~6.5)', '비듬케어', '실리콘프리', '펌프형']",샴푸,일반샴푸
알페신 카페인 샴푸 C1 250ml,https://prod.danawa.com/info/?pcode=3092580&cate=18313515,두피와 모발에 활력을 더하는 카페인 샴푸,7440,//img.danawa.com/prod_img/500000/580/092/img/3092580_1.jpg?shrink=130:130&_v=20211018104658,"['샴푸', '남성용', '실리콘프리', '캡형']",샴푸,일반샴푸
케라시스 체리블라썸 퍼퓸 샴푸 1000ml,https://prod.danawa.com/info/?pcode=12972962&cate=18313515,비타민 풍부한 벚꽃 추출물과 아르간 오일 함유,4090,//img.danawa.com/prod_img/500000/962/972/img/12972962_1.jpg?shrink=130:130&_v=20230718132205,"['샴푸', '대용량', '펌프형']",샴푸,일반샴푸
헤드앤숄더 애플 프레쉬 샴푸 850ml,https://prod.danawa.com/info/?pcode=16995131&cate=18313515,,8810,//img.danawa.com/prod_img/500000/131/995/img/16995131_1.jpg?shrink=130:130&_v=20220622155524,"['샴푸', '비듬케어', '펌프형']",샴푸,일반샴푸
엘라스틴 모이스처라이징 샴푸 4.2kg,https://prod.danawa.com/info/?pcode=2959765&cate=18313515,,13030,//img.danawa.com/prod_img/500000/765/959/img/2959765_1.jpg?shrink=130:130&_v=20230419173535,"['샴푸', '리필 대용량', '캡형']",샴푸,일반샴푸
아모레퍼시픽 헤어테라피 샴푸 4.2kg,https://prod.danawa.com/info/?pcode=20430056&cate=18313515,,14180,//img.danawa.com/prod_img/500000/056/430/img/20430056_1.jpg?shrink=130:130&_v=20230605181644,"['샴푸', '리필 대용량', '캡형']",샴푸,일반샴푸
아모스프로페셔널 프로베이직 컬러 앤 펌 샴푸 1000ml,https://prod.danawa.com/info/?pcode=30308867&cate=18313515,,22590,//placehold.co/130,"['샴푸', '염색모발', '대용량', '펌프형']",샴푸,일반샴푸
케라스타즈 방 포스 아키텍트 샴푸 500ml,https://prod.danawa.com/info/?pcode=10106577&cate=18313515,,45330,//placehold.co/130,"['샴푸', '손상모발', '펌프형']",샴푸,일반샴푸
알페신 카페인 샴푸 C1 375ml,https://prod.danawa.com/info/?pcode=6082438&cate=18313515,두피와 모발에 활력을 더하는 카페인 샴푸,11340,//placehold.co/130,"['샴푸', '남성용', '실리콘프리', '캡형']",샴푸,일반샴푸
